day_obs,countVisitperBandperNight
20220913,106
20220914,176
20220927,76
20220928,98
20220929,98
20221011,22
20221012,18
20221025,25
20221026,38
20221027,37
20221109,36
20221110,60
20221123,74
20221207,43
20221208,81
20221209,20
20221210,20
20221212,25
20230117,119
20230118,131
20230119,75
20230131,207
20230201,125
20230202,123
20230214,40
20230215,69
20230216,39
20230228,24
20230301,73
20230302,42
20230314,55
20230315,69
20230316,52
20230509,63
20230510,75
20230511,24
20230523,112
20230524,105
20230525,4
20230718,2
20230720,21
20230801,8
20230802,43
20230815,4
20230817,66
20230829,43
20230912,23
20230913,20
20230914,24
20230926,66
20230927,46
20230928,38
20231010,60
20231107,41
20231108,7
20231113,10
20231114,24
20231115,30
20231116,36
20231120,46
20231127,36
20231128,33
20231129,32
20231130,30
20231204,41
20231205,26
20231206,19
20231207,20
20231211,36
20231212,21
20231214,40
20231215,19
20231219,21
20231220,34
